NAME,AC_NAME,CD_BLOCK,C11_CODE,T_Househol,T_Popu,M_Popu,F_Popu,T_0_6_Yrs,M_0_6_Yrs,F_0_6_Yrs,T_SC_Popu,M_SC_Popu,F_SC_Popu,T_ST_Popu,M_ST_Popu,F_ST_Popu,T_Literate,M_Literate,F_Literate,T_Illitera,M_Illitera,F_Illitera,T_Workers,M_Workers,F_Workers,T_Mn_Wkers,M_Mn_Wkers,F_Mn_Wkers,T_Mn_Culti,M_Mn_Culti,F_Mn_Culti,T_Mn_Agr_L,M_Mn_Agr_L,F_Mn_Agr_L,T_Mn_HH_IW,M_Mn_HH_IW,F_Mn_HH_IW,T_Mn_OWker,M_Mn_OWker,F_Mn_OWker,T_Mg_Wkers,M_Mg_Wkers,F_Mg_Wkers,T_Mg_Culti,M_Mg_Culti,F_Mg_Culti,T_Mg_A_Lab,M_Mg_A_Lab,F_Mg_A_Lab,T_Mg_HH_IW,M_Mg_HH_IW,F_Mg_HH_IW,T_Mg_O_W,M_Mg_O_W,F_Mg_O_W,T_Mg_W_3_6,M_Mg_W_3_6,F_Mg_W_3_6,T_Mg_C_3_6,M_Mg_C_3_6,F_Mg_C_3_6,T_Mg_AL3_6,M_Mg_AL3_6,F_Mg_AL3_6,T_Mg_HIW36,M_Mg_HIW36,F_Mg_HIW36,T_Mg_OW3_6,M_Mg_OW3_6,F_Mg_OW3_6,T_Mg_W_0_3,M_Mg_W_0_3,F_Mg_W_0_3,T_Mg_C_0_3,M_Mg_C_0_3,F_Mg_C_0_3,T_Mg_AL0_3,M_Mg_AL0_3,F_Mg_AL0_3,T_Mg_HIW03,M_Mg_HIW03,F_Mg_HIW03,T_Mg_OW0_3,M_Mg_OW0_3,F_Mg_OW0_3,T_NWkers_P,M_NWkers_P,F_NWkers_P
Mawsohrisa,Pynursla,Pynursla,278971,19,71,43,28,16,12,4,0,0,0,70,42,28,38,19,19,33,24,9,37,24,13,37,24,13,1,1,0,35,23,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,15
Laitsohum,Mawsynram,Mawsynram,278657,46,216,107,109,37,18,19,0,0,0,216,107,109,154,76,78,62,31,31,62,49,13,61,49,12,1,1,0,0,0,0,0,0,0,60,48,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,58,96
Nongsteng,Shella,"Shella C & RD, Sohra",278777,89,356,182,174,73,38,35,0,0,0,355,182,173,265,132,133,91,50,41,142,94,48,22,14,8,8,7,1,0,0,0,0,0,0,14,7,7,120,80,40,0,0,0,119,80,39,0,0,0,1,0,1,117,79,38,0,0,0,117,79,38,0,0,0,0,0,0,3,1,1,0,0,0,2,1,1,0,0,0,1,0,1,214,88,126
Phudphanblei,Mawsynram,Mawsynram,278656,26,123,69,54,28,16,12,0,0,0,119,66,53,74,39,35,49,30,19,32,28,4,31,27,4,0,0,0,0,0,0,0,0,0,31,27,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,91,41,50
Khohber,Sohra,12-Shnong Laitkroh C & RD,278561,13,46,21,25,11,6,5,0,0,0,46,21,25,12,7,5,34,14,20,19,8,11,19,8,11,9,3,6,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,14
Kiengshympet,Shella,"Shella C & RD, Sohra",278778,14,67,31,36,9,4,5,0,0,0,66,30,36,56,27,29,11,4,7,16,13,3,14,13,1,11,11,0,0,0,0,0,0,0,3,2,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,18,33
Nongrim,Pynursla,Pynursla,278314,113,609,259,350,127,54,73,0,0,0,600,254,346,392,173,219,217,86,131,160,122,38,113,88,25,66,59,7,20,12,8,0,0,0,27,17,10,47,34,13,4,3,1,32,23,9,0,0,0,11,8,3,44,33,11,4,3,1,29,22,7,0,0,0,11,8,3,3,1,1,0,0,0,3,1,2,0,0,0,0,0,0,449,137,312
Nohkalikai,Sohra,"Shella C & RD Block, Sohra",278781,7,41,25,16,10,5,5,0,0,0,40,24,16,25,14,11,16,11,5,21,14,7,21,14,7,0,0,0,2,2,0,0,0,0,19,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,9
Shakai,Pynursla,Pynursla,278965,3,18,12,6,5,3,2,0,0,0,18,12,6,4,4,0,14,8,6,5,4,1,5,4,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5
Mawpyrthuh,Pynursla,Pynursla,278953,32,160,78,82,42,16,26,0,0,0,160,78,82,81,45,36,79,33,46,57,41,16,53,38,15,0,0,0,52,37,15,0,0,0,1,1,0,4,3,1,0,0,0,4,3,1,0,0,0,0,0,0,4,3,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,37,66
Nongshluid,Mawsynram,Mawsynram,278642,45,262,125,137,60,31,29,0,0,0,260,125,135,156,66,90,106,59,47,110,62,48,83,56,27,36,25,11,39,28,11,0,0,0,8,3,5,27,6,21,17,4,13,8,2,6,0,0,0,2,0,2,27,6,21,17,4,13,8,2,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,63,89
Lyndem,Pynursla,Pynursla,278958,115,592,279,313,117,66,51,0,0,0,587,274,313,360,155,205,232,124,108,274,122,152,273,121,152,167,65,102,94,46,48,0,0,0,12,10,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,157,161
Phlangtyngur,Pynursla,Pynursla,278950,71,365,185,180,69,38,31,0,0,0,365,185,180,238,115,123,127,70,57,148,84,64,119,68,51,31,14,17,76,48,28,2,0,2,10,6,4,29,16,13,4,3,1,24,13,11,1,0,1,0,0,0,27,15,12,4,3,1,22,12,10,1,0,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,217,101,116
Kenshluid,Mawsynram,Mawsynram,278634,42,225,125,100,70,39,31,0,0,0,219,122,97,107,58,49,118,67,51,89,48,41,59,37,22,47,31,16,4,3,1,0,0,0,8,3,5,30,11,19,22,6,16,3,1,2,0,0,0,5,4,1,30,11,19,22,6,16,3,1,2,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,77,59
Sder,Sohra,12-Shnong Laitkroh C & RD,278559,39,153,73,80,37,13,24,0,0,0,153,73,80,42,21,21,111,52,59,67,33,34,67,33,34,49,22,27,18,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,40,46
Janiaw,Mawsynram,Mawsynram,278650,10,48,26,22,7,3,4,0,0,0,48,26,22,41,23,18,7,3,4,29,18,11,9,8,1,9,8,1,0,0,0,0,0,0,0,0,0,20,10,10,20,10,10,0,0,0,0,0,0,0,0,0,20,10,10,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,11
Umpyrdong,Mawsynram,Mawsynram,278643,18,112,56,56,26,16,10,0,0,0,112,56,56,72,37,35,40,19,21,44,26,18,33,21,12,16,9,7,16,11,5,0,0,0,1,1,0,11,5,6,8,4,4,3,1,2,0,0,0,0,0,0,11,5,6,8,4,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,30,38
Raitkteng,Sohra,"Shella C & RD Block, Sohra",278782,2,7,4,3,2,1,1,0,0,0,7,4,3,5,3,2,2,1,1,2,1,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
Sohkynduh,Sohra,12-Shnong Laitkroh C & RD,278567,122,561,294,267,155,80,75,0,0,0,560,293,267,198,113,85,363,181,182,269,150,119,263,148,115,205,113,92,56,35,21,0,0,0,2,0,2,6,2,4,3,0,3,1,1,0,0,0,0,2,1,1,5,2,3,3,0,3,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,292,144,148
Wahparkti & Wah Mawlyndiar,Mawsynram,Mawsynram,278651,5,14,10,4,5,4,1,0,0,0,8,5,3,7,4,3,7,6,1,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4
Siatbakon,Pynursla,Pynursla,278974,198,916,457,459,184,97,87,0,0,0,916,457,459,616,299,317,300,158,142,379,217,162,231,134,97,9,6,3,30,23,7,8,5,3,184,100,84,148,83,65,23,13,10,100,53,47,0,0,0,25,17,8,139,75,64,22,13,9,96,49,47,0,0,0,21,13,8,9,8,8,1,0,1,4,4,0,0,0,0,4,4,0,537,240,297
Pdang,Sohra,12-Shnong Laitkroh C & RD,278574,13,62,37,25,17,11,6,0,0,0,62,37,25,1,1,0,61,36,25,32,16,16,32,16,16,32,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,9
Phlang-U-Diak,Pynursla,Pynursla,278973,3,15,9,6,3,2,1,0,0,0,15,9,6,7,3,4,8,6,2,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,8,5,3,0,0,0,0,0,0,8,5,3,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3
Mawbarem,Pynursla,Pynursla,278959,2,2,2,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,0,2,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phlangmawsyrpat,Mawsynram,Mawsynram,278659,74,371,184,187,69,38,31,0,0,0,366,181,185,298,144,154,73,40,33,106,75,31,71,59,12,48,43,5,6,3,3,0,0,0,17,13,4,35,16,19,31,12,19,2,2,0,0,0,0,2,2,0,35,16,19,31,12,19,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,109,156
Mawkyrnot,Pynursla,Pynursla,278949,75,353,173,180,76,41,35,0,0,0,352,173,179,196,87,109,157,86,71,150,88,62,104,61,43,42,19,23,57,40,17,0,0,0,5,2,3,46,27,19,16,10,6,29,17,12,1,0,1,0,0,0,42,25,17,13,8,5,28,17,11,1,0,1,0,0,0,4,2,2,3,2,1,1,0,1,0,0,0,0,0,0,203,85,118
Thieddieng Nongthymmai,Mawsynram,Mawsynram,278648,68,342,162,180,78,31,47,0,0,0,342,162,180,247,120,127,95,42,53,160,88,72,158,87,71,148,85,63,2,0,2,0,0,0,8,2,6,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,74,108
Maweitksar,Shella,"Shella C & RD, Sohra",278767,12,54,29,25,18,9,9,0,0,0,54,29,25,34,19,15,20,10,10,20,17,3,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,17,16,1,3,3,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,16,3,3,0,14,13,1,0,0,0,0,0,0,34,12,22
Warbah,Sohra,12-Shnong Laitkroh C & RD,278558,33,137,69,68,28,13,15,0,0,0,137,69,68,33,17,16,104,52,52,75,39,36,75,39,36,48,24,24,27,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,30,32
Nongsder,Pynursla,Pynursla,278940,110,602,307,295,132,62,70,0,0,0,601,306,295,395,208,187,207,99,108,260,144,116,223,133,90,75,49,26,134,83,51,5,1,4,9,0,9,37,11,26,11,1,10,24,10,14,0,0,0,2,0,2,36,11,25,10,1,9,24,10,14,0,0,0,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,342,163,179
Umblai,Shella,"Shella C & RD, Sohra",278492,51,229,113,116,52,24,28,0,0,0,225,110,115,76,37,39,153,76,77,110,64,46,22,15,7,0,0,0,1,0,1,0,0,0,21,15,6,88,49,39,2,1,1,40,29,11,0,0,0,46,19,27,65,38,27,2,1,1,37,26,11,0,0,0,26,11,15,23,11,11,0,0,0,3,3,0,0,0,0,20,8,12,119,49,70
Rymmai,Sohra,12-Shnong Laitkroh C & RD,278566,46,230,119,111,54,26,28,0,0,0,230,119,111,92,48,44,138,71,67,107,57,50,92,46,46,92,46,46,0,0,0,0,0,0,0,0,0,15,11,4,1,0,1,14,11,3,0,0,0,0,0,0,15,11,4,1,0,1,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,62,61
Dewiong,Sohra,12-Shnong Laitkroh C & RD,278569,25,122,61,61,25,13,12,0,0,0,122,61,61,5,0,5,117,61,56,53,27,26,53,27,26,53,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,34,35
Lyngsteng,Sohra,12-Shnong Laitkroh C & RD,278570,9,37,20,17,6,3,3,0,0,0,37,20,17,8,4,4,29,16,13,20,13,7,20,13,7,20,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,10
Laitduh,Shella,"Shella C & RD, Sohra",278765,36,135,68,67,23,8,15,0,0,0,135,68,67,94,46,48,41,22,19,81,48,33,55,34,21,3,3,0,0,0,0,6,5,1,46,26,20,26,14,12,0,0,0,3,3,0,1,0,1,22,11,11,18,9,9,0,0,0,3,3,0,1,0,1,14,6,8,8,5,5,0,0,0,0,0,0,0,0,0,8,5,3,54,20,34
Nongmadan Mawpran,Pynursla,Pynursla,278942,77,366,193,173,66,32,34,0,0,0,366,193,173,263,145,118,103,48,55,168,106,62,167,105,62,6,5,1,149,90,59,0,0,0,12,10,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,87,111
Mawphu,Shella,"Shella C & RD, Sohra",278770,128,695,342,353,130,61,69,0,0,0,695,342,353,468,223,245,227,119,108,297,171,126,295,169,126,277,158,119,0,0,0,0,0,0,18,11,7,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,171,227
Myiong,Sohra,12-Shnong Laitkroh C & RD,278572,13,66,38,28,9,4,5,0,0,0,66,38,28,48,28,20,18,10,8,34,21,13,33,21,12,33,21,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,15
Mawsohmad,Sohra,12-Shnong Laitkroh C & RD,278560,47,223,116,107,45,22,23,0,0,0,223,116,107,98,51,47,125,65,60,127,74,53,112,71,41,109,68,41,0,0,0,0,0,0,3,3,0,15,3,12,15,3,12,0,0,0,0,0,0,0,0,0,13,2,11,13,2,11,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,96,42,54
Rangthylliang,Pynursla,Pynursla,278947,44,241,113,128,55,26,29,0,0,0,240,112,128,133,59,74,108,54,54,91,51,40,55,32,23,1,0,1,1,1,0,0,0,0,53,31,22,36,19,17,0,0,0,1,1,0,0,0,0,35,18,17,35,18,17,0,0,0,0,0,0,0,0,0,35,18,17,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,150,62,88
Pdengshnong,Sohra,"Shella C & RD Block, Sohra",278145,57,314,163,151,63,27,36,0,0,0,311,161,150,225,126,99,89,37,52,152,79,73,140,76,64,117,65,52,0,0,0,0,0,0,23,11,12,12,3,9,8,1,7,3,1,2,0,0,0,1,1,0,11,2,9,8,1,7,3,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,162,84,78
Domskong,Mawsynram,Mawsynram,278647,63,356,184,172,78,49,29,0,0,0,351,182,169,134,58,76,222,126,96,168,87,81,86,77,9,76,70,6,1,0,1,0,0,0,9,7,2,82,10,72,58,8,50,15,0,15,1,0,1,8,2,6,52,6,46,40,6,34,8,0,8,0,0,0,4,0,4,30,4,4,18,2,16,7,0,7,1,0,1,4,2,2,188,97,91
Mawtongreng,Sohra,12-Shnong Laitkroh C & RD,278576,23,86,51,35,15,7,8,0,0,0,86,51,35,41,26,15,45,25,20,53,32,21,53,32,21,52,31,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,14
Mawiong,Shella,"Shella C & RD, Sohra",278772,30,144,73,71,39,18,21,0,0,0,144,73,71,96,50,46,48,23,25,35,32,3,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,31,28,3,5,5,0,26,23,3,0,0,0,0,0,0,7,7,0,4,4,0,3,3,0,0,0,0,0,0,0,24,21,21,1,1,0,23,20,3,0,0,0,0,0,0,109,41,68
Khliehshnong,Sohra,"Shella C & RD Block, Sohra",278077,20,131,64,67,35,18,17,0,0,0,131,64,67,84,41,43,47,23,24,55,26,29,55,26,29,54,25,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,38,38
Mawphir,Shella,"Shella C & RD, Sohra",278769,52,270,118,152,52,23,29,0,0,0,265,116,149,165,64,101,105,54,51,127,58,69,126,58,68,114,54,60,0,0,0,1,0,1,11,4,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,60,83
Jympiat,Mawsynram,Mawsynram,278635,27,153,81,72,39,23,16,0,0,0,153,81,72,86,45,41,67,36,31,52,36,16,52,36,16,30,21,9,16,14,2,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,45,56
Thangkarta,Sohra,12-Shnong Laitkroh C & RD,278577,10,37,19,18,6,3,3,0,0,0,37,19,18,6,1,5,31,18,13,22,13,9,22,13,9,22,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9
Mawsynram Dongneng,Mawsynram,Mawsynram,278637,149,748,352,396,103,54,49,0,0,0,744,350,394,619,287,332,129,65,64,267,134,133,259,132,127,4,3,1,0,0,0,0,0,0,255,129,126,8,2,6,0,0,0,0,0,0,0,0,0,8,2,6,8,2,6,0,0,0,0,0,0,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,218,263
Mawkaphan,Mawsynram,Mawsynram,278641,72,407,202,205,77,36,41,0,0,0,407,202,205,290,146,144,117,56,61,143,103,40,141,101,40,79,62,17,55,34,21,0,0,0,7,5,2,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,264,99,165
Mynrieng & Laitmynrieng,Pynursla,Pynursla,278984,6,24,10,14,4,3,1,0,0,0,24,10,14,15,6,9,9,4,5,12,5,7,7,4,3,0,0,0,0,0,0,0,0,0,7,4,3,5,1,4,0,0,0,0,0,0,0,0,0,5,1,4,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,5,7
Urksew-Wahpathaw,Pynursla,Pynursla,278944,156,805,377,428,147,74,73,1,1,0,803,375,428,580,271,309,225,106,119,263,172,91,209,136,73,19,15,4,11,8,3,3,2,1,176,111,65,54,36,18,5,4,1,6,4,2,4,2,2,39,26,13,37,27,10,3,2,1,5,4,1,3,1,2,26,20,6,17,9,9,2,2,0,1,0,1,1,1,0,13,6,7,542,205,337
Mawsynram Dongrum,Mawsynram,Mawsynram,278638,237,1337,635,702,184,84,100,1,1,0,1325,629,696,1083,515,568,254,120,134,436,273,163,425,269,156,2,0,2,2,2,0,0,0,0,421,267,154,11,4,7,0,0,0,0,0,0,0,0,0,11,4,7,9,3,6,0,0,0,0,0,0,0,0,0,9,3,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,901,362,539
Jading,Pynursla,Pynursla,278928,2,6,5,1,2,2,0,0,0,0,6,5,1,1,1,0,5,4,1,4,3,1,4,3,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Nongryngkoh,Mawkynrew,Mawkynrew,278494,214,943,473,470,191,90,101,0,0,0,941,473,468,504,228,276,439,245,194,391,248,143,261,162,99,0,0,0,2,1,1,0,0,0,259,161,98,130,86,44,0,0,0,4,2,2,2,2,0,124,82,42,129,85,44,0,0,0,3,1,2,2,2,0,124,82,42,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,552,225,327
Pynursla,Pynursla,Pynursla,278929,180,1014,485,529,157,82,75,1,1,0,1004,479,525,755,353,402,259,132,127,342,212,130,259,163,96,9,5,4,11,5,6,2,0,2,237,153,84,83,49,34,0,0,0,4,4,0,0,0,0,79,45,34,83,49,34,0,0,0,4,4,0,0,0,0,79,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,273,399
Mawmang,Sohra,12-Shnong Laitkroh C & RD,278557,46,183,86,97,28,10,18,0,0,0,183,86,97,124,59,65,59,27,32,82,50,32,81,50,31,77,47,30,0,0,0,0,0,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,36,65
Jarain,Sohra,12-Shnong Laitkroh C & RD,278411,56,324,166,158,74,37,37,0,0,0,324,166,158,211,104,107,113,62,51,127,83,44,22,13,9,13,8,5,0,0,0,0,0,0,9,5,4,105,70,35,1,0,1,104,70,34,0,0,0,0,0,0,95,63,32,1,0,1,94,63,31,0,0,0,0,0,0,10,7,7,0,0,0,10,7,3,0,0,0,0,0,0,197,83,114
Nongkwai,Pynursla,Pynursla,278941,181,941,430,511,205,98,107,0,0,0,941,430,511,501,221,280,440,209,231,399,223,176,262,174,88,41,40,1,154,85,69,0,0,0,67,49,18,137,49,88,1,0,1,120,47,73,1,1,0,15,1,14,131,47,84,1,0,1,116,45,71,1,1,0,13,1,12,6,2,2,0,0,0,4,2,2,0,0,0,2,0,2,542,207,335
Kenbah,Mawsynram,Mawsynram,278633,119,705,349,356,176,96,80,0,0,0,705,349,356,222,114,108,483,235,248,261,164,97,171,154,17,163,147,16,2,1,1,0,0,0,6,6,0,90,10,80,85,8,77,4,2,2,0,0,0,1,0,1,63,5,58,59,4,55,3,1,2,0,0,0,1,0,1,27,5,5,26,4,22,1,1,0,0,0,0,0,0,0,444,185,259
Lyngngai,Pynursla,Pynursla,278136,54,329,163,166,73,38,35,0,0,0,328,163,165,200,106,94,129,57,72,174,84,90,94,84,10,92,84,8,1,0,1,0,0,0,1,0,1,80,0,80,80,0,80,0,0,0,0,0,0,0,0,0,80,0,80,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,79,76
Jathang,Mawsynram,Mawsynram,278530,35,148,75,73,35,21,14,0,0,0,148,75,73,102,50,52,46,25,21,115,54,61,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,113,53,60,33,6,27,38,32,6,0,0,0,42,15,27,113,53,60,33,6,27,38,32,6,0,0,0,42,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,12
Nongkhlieng,Pynursla,Pynursla,278938,53,330,171,159,70,33,37,0,0,0,329,171,158,186,96,90,144,75,69,146,88,58,128,85,43,7,6,1,118,77,41,1,1,0,2,1,1,18,3,15,0,0,0,18,3,15,0,0,0,0,0,0,17,2,15,0,0,0,17,2,15,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,184,83,101
Myllat,Pynursla,Pynursla,278936,121,775,380,395,155,73,82,0,0,0,775,380,395,399,182,217,376,198,178,358,201,157,293,191,102,119,108,11,127,73,54,0,0,0,47,10,37,65,10,55,5,5,0,10,0,10,0,0,0,50,5,45,62,9,53,4,4,0,10,0,10,0,0,0,48,5,43,3,1,1,1,1,0,0,0,0,0,0,0,2,0,2,417,179,238
Khrang,Sohra,12-Shnong Laitkroh C & RD,278564,106,508,269,239,107,59,48,0,0,0,508,269,239,299,156,143,209,113,96,238,135,103,207,120,87,160,88,72,35,22,13,0,0,0,12,10,2,31,15,16,21,10,11,8,4,4,0,0,0,2,1,1,23,10,13,15,6,9,7,4,3,0,0,0,1,0,1,8,5,5,6,4,2,1,0,1,0,0,0,1,1,0,270,134,136
Laitlyndop,Sohra,12-Shnong Laitkroh C & RD,278550,91,493,257,236,106,49,57,0,0,0,493,257,236,313,170,143,180,87,93,172,124,48,130,116,14,1,1,0,0,0,0,0,0,0,129,115,14,42,8,34,0,0,0,2,1,1,3,2,1,37,5,32,41,7,34,0,0,0,2,1,1,3,2,1,36,4,32,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,321,133,188
