NAME,AC_NAME,CD_BLOCK,C11_CODE,T_Househol,T_Popu,M_Popu,F_Popu,T_0_6_Yrs,M_0_6_Yrs,F_0_6_Yrs,T_SC_Popu,M_SC_Popu,F_SC_Popu,T_ST_Popu,M_ST_Popu,F_ST_Popu,T_Literate,M_Literate,F_Literate,T_Illitera,M_Illitera,F_Illitera,T_Workers,M_Workers,F_Workers,T_Mn_Wkers,M_Mn_Wkers,F_Mn_Wkers,T_Mn_Culti,M_Mn_Culti,F_Mn_Culti,T_Mn_Agr_L,M_Mn_Agr_L,F_Mn_Agr_L,T_Mn_HH_IW,M_Mn_HH_IW,F_Mn_HH_IW,T_Mn_OWker,M_Mn_OWker,F_Mn_OWker,T_Mg_Wkers,M_Mg_Wkers,F_Mg_Wkers,T_Mg_Culti,M_Mg_Culti,F_Mg_Culti,T_Mg_A_Lab,M_Mg_A_Lab,F_Mg_A_Lab,T_Mg_HH_IW,M_Mg_HH_IW,F_Mg_HH_IW,T_Mg_O_W,M_Mg_O_W,F_Mg_O_W,T_Mg_W_3_6,M_Mg_W_3_6,F_Mg_W_3_6,T_Mg_C_3_6,M_Mg_C_3_6,F_Mg_C_3_6,T_Mg_AL3_6,M_Mg_AL3_6,F_Mg_AL3_6,T_Mg_HIW36,M_Mg_HIW36,F_Mg_HIW36,T_Mg_OW3_6,M_Mg_OW3_6,F_Mg_OW3_6,T_Mg_W_0_3,M_Mg_W_0_3,F_Mg_W_0_3,T_Mg_C_0_3,M_Mg_C_0_3,F_Mg_C_0_3,T_Mg_AL0_3,M_Mg_AL0_3,F_Mg_AL0_3,T_Mg_HIW03,M_Mg_HIW03,F_Mg_HIW03,T_Mg_OW0_3,M_Mg_OW0_3,F_Mg_OW0_3,T_NWkers_P,M_NWkers_P,F_NWkers_P
Sohlwai,Sohiong,Mawphlang,278079,49,233,125,108,61,40,21,0,0,0,232,124,108,150,71,79,83,54,29,107,55,52,106,54,52,106,54,52,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,70,56
Mawiong Sung,Mawryngkneng,Mawryngkneng,278414,41,223,120,103,54,26,28,0,0,0,221,118,103,81,31,50,142,89,53,126,76,50,92,71,21,1,1,0,84,66,18,0,0,0,7,4,3,34,5,29,0,0,0,27,2,25,0,0,0,7,3,4,34,5,29,0,0,0,27,2,25,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,44,53
Nongumlong,Mylliem,Mylliem,278295,295,1554,755,799,305,148,157,1,1,0,1533,741,792,1005,483,522,549,272,277,582,357,225,482,323,159,104,59,45,64,37,27,4,4,0,310,223,87,100,34,66,13,0,13,43,16,27,3,2,1,41,16,25,83,28,55,13,0,13,40,15,25,1,1,0,29,12,17,17,6,6,0,0,0,3,1,2,2,1,1,12,4,8,972,398,574
4th Mile Upper Shillong,Mylliem,Mylliem,278297,89,471,244,227,57,35,22,0,0,0,449,228,221,384,192,192,87,52,35,161,96,65,137,80,57,3,1,2,1,0,1,1,1,0,132,78,54,24,16,8,0,0,0,0,0,0,0,0,0,24,16,8,12,10,2,0,0,0,0,0,0,0,0,0,12,10,2,12,6,6,0,0,0,0,0,0,0,0,0,12,6,6,310,148,162
Mawripih,Sohiong,Mawphlang,278090,40,228,117,111,47,24,23,0,0,0,225,116,109,161,85,76,67,32,35,124,57,67,119,54,65,117,53,64,0,0,0,0,0,0,2,1,1,5,3,2,0,0,0,0,0,0,0,0,0,5,3,2,5,3,2,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,60,44
Mawshabuit,Mawryngkneng,Mawryngkneng,278372,483,2590,1261,1329,447,222,225,16,9,7,2490,1207,1283,1840,897,943,750,364,386,940,637,303,855,579,276,56,39,17,109,73,36,10,8,2,680,459,221,85,58,27,2,1,1,31,26,5,2,2,0,50,29,21,49,32,17,0,0,0,13,11,2,2,2,0,34,19,15,36,26,26,2,1,1,18,15,3,0,0,0,16,10,6,1650,624,1026
Lawmei Pdengshnong,Sohiong,Mylliem,278292,76,403,207,196,82,40,42,0,0,0,403,207,196,268,137,131,135,70,65,200,109,91,197,108,89,151,81,70,0,0,0,0,0,0,46,27,19,3,1,2,0,0,0,1,0,1,0,0,0,2,1,1,3,1,2,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,98,105
Khongshnong,Mawryngkneng,Mawryngkneng,278416,5,42,21,21,7,3,4,0,0,0,42,21,21,19,7,12,23,14,9,20,12,8,12,10,2,0,0,0,12,10,2,0,0,0,0,0,0,8,2,6,0,0,0,7,1,6,0,0,0,1,1,0,8,2,6,0,0,0,7,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,13
Mawlum,Sohiong,Mawphlang,278095,68,360,178,182,93,55,38,0,0,0,360,178,182,202,89,113,158,89,69,161,77,84,161,77,84,159,76,83,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,101,98
Umlyngka Kynton,Mylliem,Mylliem,278361,1450,7381,3600,3781,1310,663,647,8,7,1,7046,3416,3630,5051,2454,2597,2330,1146,1184,2428,1568,860,1845,1188,657,135,77,58,38,26,12,3,3,0,1669,1082,587,583,380,203,14,6,8,36,15,21,0,0,0,533,359,174,576,376,200,14,6,8,35,15,20,0,0,0,527,355,172,7,4,4,0,0,0,1,0,1,0,0,0,6,4,2,4953,2032,2921
Madanrting,Nongkrem,Mylliem,278359,5949,29194,15724,13470,3457,1781,1676,143,84,59,15245,7211,8034,23686,13180,10506,5508,2544,2964,10974,8392,2582,9584,7618,1966,170,133,37,18,14,4,49,24,25,9347,7447,1900,1390,774,616,19,12,7,17,16,1,39,26,13,1315,720,595,996,622,374,18,12,6,16,16,0,30,21,9,932,573,359,394,152,152,1,0,1,1,0,1,9,5,4,383,147,236,18220,7332,10888
Ksehpongdeng (Inc. Mawthliew),Mawryngkneng,Mawryngkneng,278379,199,1235,616,619,310,142,168,0,0,0,1233,615,618,555,240,315,680,376,304,503,298,205,493,297,196,467,281,186,3,1,2,1,1,0,22,14,8,10,1,9,8,1,7,0,0,0,0,0,0,2,0,2,9,1,8,8,1,7,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,732,318,414
Mawlaingut,Sohiong,Mylliem,278277,56,339,175,164,92,53,39,0,0,0,338,174,164,180,84,96,159,91,68,139,69,70,139,69,70,137,69,68,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,106,94
Mawlynrei,Mawryngkneng,Mawryngkneng,278373,652,3473,1709,1764,723,352,371,9,6,3,3443,1690,1753,2263,1092,1171,1210,617,593,1383,853,530,1320,826,494,109,67,42,24,15,9,18,14,4,1169,730,439,63,27,36,8,3,5,15,7,8,5,2,3,35,15,20,49,20,29,7,3,4,11,4,7,5,2,3,26,11,15,14,7,7,1,0,1,4,3,1,0,0,0,9,4,5,2090,856,1234
Dewsaw,Sohiong,Mawphlang,278997,48,223,108,115,56,22,34,0,0,0,222,107,115,138,72,66,85,36,49,70,56,14,63,51,12,0,0,0,0,0,0,0,0,0,63,51,12,7,5,2,0,0,0,0,0,0,0,0,0,7,5,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,5,3,3,0,0,0,0,0,0,0,0,0,5,3,2,153,52,101
Mawmih,Sohiong,Mylliem,278274,59,337,168,169,65,30,35,0,0,0,337,168,169,233,114,119,104,54,50,155,75,80,153,74,79,133,66,67,0,0,0,1,0,1,19,8,11,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,93,89
Nongsawing,Sohiong,Mylliem,278282,22,130,64,66,28,17,11,0,0,0,130,64,66,88,37,51,42,27,15,50,24,26,48,23,25,43,21,22,0,0,0,0,0,0,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,40
Umlyngka Mihngi,Mylliem,Mylliem,278361,1450,7381,3600,3781,1310,663,647,8,7,1,7046,3416,3630,5051,2454,2597,2330,1146,1184,2428,1568,860,1845,1188,657,135,77,58,38,26,12,3,3,0,1669,1082,587,583,380,203,14,6,8,36,15,21,0,0,0,533,359,174,576,376,200,14,6,8,35,15,20,0,0,0,527,355,172,7,4,4,0,0,0,1,0,1,0,0,0,6,4,2,4953,2032,2921
Shillong Medical Store,North Shillong,,801544,31025,143229,4599,7558,14317,7394,6923,1551,768,783,7771,-3269,-2507,119642,-6057,-5373,23587,10656,12931,-1072,-2904,18316,-1278,-3012,17340,64,39,25,80,61,19,306,239,67,-1323,-3046,17229,2056,1080,976,29,9,20,30,14,16,41,25,16,1956,1032,924,1806,943,863,28,8,20,25,12,13,33,22,11,1720,901,819,250,137,137,1,1,0,5,2,3,8,3,5,236,131,105,22886,-3189,-1075
Demseiniong,East Shillong,,278128,37,190,87,103,50,20,30,0,0,0,190,87,103,113,53,60,77,34,43,95,49,46,87,48,39,62,30,32,0,0,0,0,0,0,25,18,7,8,1,7,8,1,7,0,0,0,0,0,0,0,0,0,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,95,38,57
Nongmadan,Sohiong,Mylliem,278290,58,327,175,152,63,33,30,0,0,0,323,172,151,210,115,95,117,60,57,165,95,70,165,95,70,162,93,69,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,80,82
Umpling (Dong Sharum),Mawryngkneng,Mylliem,278357,1814,8529,4302,4227,1147,592,555,46,27,19,5870,2690,3180,6771,3472,3299,1758,830,928,3148,2188,960,2909,2044,865,21,12,9,2,2,0,2,2,0,2884,2028,856,239,144,95,5,2,3,1,1,0,3,1,2,230,140,90,228,141,87,5,2,3,1,1,0,3,1,2,219,137,82,11,3,3,0,0,0,0,0,0,0,0,0,11,3,8,5381,2114,3267
Lummawbah,Mylliem,Mylliem,278289,750,3621,1679,1942,399,195,204,6,4,2,3573,1649,1924,3020,1405,1615,601,274,327,1329,720,609,1289,695,594,13,8,5,135,77,58,3,3,0,1138,607,531,40,25,15,1,1,0,5,4,1,1,1,0,33,19,14,23,14,9,1,1,0,4,3,1,0,0,0,18,10,8,17,11,11,0,0,0,1,1,0,1,1,0,15,9,6,2292,959,1333
Mawkhar,North Shillong,,278088,59,295,140,155,78,41,37,0,0,0,295,140,155,195,85,110,100,55,45,125,65,60,117,64,53,56,22,34,0,0,0,3,1,2,58,41,17,8,1,7,6,1,5,0,0,0,0,0,0,2,0,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,6,0,0,4,0,4,0,0,0,0,0,0,2,0,2,170,75,95
Pdengshnong Eastern Side,West Shillong,,278323,54,308,161,147,72,44,28,0,0,0,306,160,146,162,76,86,146,85,61,140,82,58,127,82,45,66,44,22,35,22,13,0,0,0,26,16,10,13,0,13,9,0,9,4,0,4,0,0,0,0,0,0,13,0,13,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,79,89
Jaroit,Mawryngkneng,Mawryngkneng,278405,167,798,410,388,218,116,102,0,0,0,795,408,387,539,265,274,259,145,114,382,203,179,378,200,178,359,190,169,2,1,1,1,0,1,16,9,7,4,3,1,3,3,0,0,0,0,0,0,0,1,0,1,4,3,1,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,207,209
Kreit,Sohiong,Mylliem,278168,64,330,158,172,70,34,36,0,0,0,330,158,172,224,101,123,106,57,49,128,70,58,128,70,58,81,46,35,4,2,2,0,0,0,43,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,88,114
Thangshalai,Mawryngkneng,Mawryngkneng,278381,112,632,316,316,162,79,83,0,0,0,629,314,315,290,117,173,342,199,143,293,147,146,293,147,146,291,146,145,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,169,170
Nongkseh Madan,Mylliem,Mylliem,278360,982,4846,2330,2516,657,347,310,32,19,13,3733,1746,1987,3839,1842,1997,1007,488,519,1664,1007,657,1381,820,561,10,7,3,57,36,21,4,3,1,1310,774,536,283,187,96,4,3,1,26,13,13,1,0,1,252,171,81,271,184,87,4,3,1,26,13,13,0,0,0,241,168,73,12,3,3,0,0,0,0,0,0,1,0,1,11,3,8,3182,1323,1859
Mawiong,Mawryngkneng,Mawryngkneng,278406,127,581,283,298,127,56,71,0,0,0,579,283,296,352,167,185,229,116,113,255,153,102,251,151,100,193,118,75,17,8,9,10,9,1,31,16,15,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,130,196
